Country,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,1.333,0.583,2.143,0.4,4.833,1.483,0.395,1.588,2.37,0.391,2.44,0.672,1.049,1.814,0.808,0.905,1.333,1.382,0.99,0.625,1.031,0.597,1.25,0.98,1.143,0.536,1.9,0.579,0.758,1.52,1.158,0.864,0.789,1.467,0.568,1.12,1.179,1.182,1.256,0.776,1.316,0.8,0.95,1.368,1.462,0.882,1.149,0.974,1.907,0.678,0.722,1.486,0.625,1.862,0.835,1.564,0.861,0.831,1.159,0.863,1.044,0.898,1.198,1.102,1.064,0.886,1.25,1.158,1.204,1.117,0.965,0.677,1.625,1.19,0.806,1.29,1.121,0.828,1.029,0.975,1.076
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,3.0,0.0,0.0,0.429,0.0,0.0,0.0,0.0,4.0,1.75,0.143,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.143,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.455,0.0,0.0,1.667,1.2,0.333,0.0,0.0,1.0,1.667,5.0,0.0,0.0,1.5,5.667,0.0,0.0,0.0,0.267,0.0,0.0,2.0,0.786,0.318,2.857,1.45,1.483,0.349,1.8,1.444,0.205,1.25,2.3,0.696,3.25,0.038,37.0,0.392,0.552,0.75,4.667,0.982,0.218,5.333,0.594,3.026,0.835,2.344,0.742,0.856,0.203,1.379,0.825,3.273,0.241,2.538,0.818,3.519,1.584,0.233,0.843,1.288,1.158,1.25,1.082,1.092,0.877,0.868,1.515,1.247,1.144,1.238,0.925,1.347,0.506,1.766,1.0,0.966,1.34,1.008,0.426,1.274,1.091,1.526,1.023,0.803,0.839,1.617,0.866,0.098,5.909,1.672,1.104,1.103,0.866,1.759,0.782,0.93,1.145,0.954,1.121,1.017,0.693,1.721,0.48,1.494
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.667,2.0,0.75,1.0,1.667,0.4,3.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,2.0,1.5,0.667,2.5,1.8,2.0,1.944,1.171,1.317,2.074,0.839,0.617,2.397,1.309,1.148,1.048,1.557,0.78,1.15,1.02,1.577,0.882,0.899,1.062,1.215,0.614,1.353,1.189,1.105,1.168,0.88,1.012,0.967,1.205,1.035,1.142,1.005,0.894,1.004,0.897,1.395,1.166,0.937,1.199,0.896,1.155,0.774,1.369,1.258,0.781,1.293,1.096,0.955,1.106,0.818,1.289,0.59,1.322,1.317,1.243,0.699,1.443,0.936,1.223,0.926,0.899,1.167,0.932,1.041,0.997,1.159,1.006
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.375,0.333,0.0,0.0,0.0,0.333,3.5,0.0,0.0,0.0,0.0,0.417,0.2,4.0,1.0,0.75,0.0,0.0,0.333,1.0,3.0,0.333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.818,0.333,1.894,1.371,1.131,1.167,1.273,2.049,1.179,0.495,1.437,0.969,1.062,1.235,1.065,1.208,0.0,0.0,0.0,0.309,1.216,1.328,1.013,1.088,1.069,0.946,1.113,1.059,0.869,1.052,1.024,0.963,0.894,1.098,1.051,1.009,1.022,1.019,0.968,1.013,1.036,0.984,0.995,1.012,0.993,1.019,0.951,1.015,0.981,1.029,0.986,1.01,1.014,0.992,0.967,0.98,1.006,1.004,0.987,1.004,0.943,1.006,1.011,1.005,1.025,0.995,0.995,0.936,0.987,0.986
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.833,2.0,2.7,2.185,1.017,0.517,1.258,0.718,1.679,0.0,0.0,0.531,1.515,0.873,1.076,1.314,1.272,1.495,1.208,1.05,0.584,1.538,1.27,1.943,0.808,1.764,0.92,0.625,0.824,1.357,1.164,1.027,1.168,0.759,0.891,1.229,0.876,1.307,1.066,0.802,1.206,0.578,0.563,4.63,0.504,1.075,0.786,1.256,1.133,0.654,0.959,0.973,1.648,0.69,0.784,0.684,1.17,0.811,1.257,0.777,0.945,0.802,0.928,0.67,1.124,2.349,0.925,0.99,0.829,0.759,0.897,0.612,1.52,1.16,0.969,0.843,0.959,0.832,0.828,1.312,1.095,1.083,0.943,0.887,0.452,1.212,1.876,0.825,0.59,1.56,0.697,0.721,0.714,1.171,1.707,1.179,0.933,0.792,0.73,1.483
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.318,0.412,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,1.375,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
